Date,Total-Deaths,New-Deaths,Percent-Change
"[""Jan. 25,. 2021 ""]",2148962,9664,0%
"[""Jan. 24,. 2021 ""]",2139298,9848,0%
"[""Jan. 23,. 2021 ""]",2129450,14190,1%
"[""Jan. 22,. 2021 ""]",2115260,16038,1%
"[""Jan. 21,. 2021 ""]",2099222,16767,1%
"[""Jan. 20,. 2021 ""]",2082455,17500,1%
"[""Jan. 19,. 2021 ""]",2064955,14818,1%
